Person_ID dd/mm/yyyy hh/mm/ss (x, y) rotation
Person_ID0 30/09/2024 13:08:40 (0.0 0.0) -0.010472
Person_ID0 30/09/2024 13:08:40 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:42 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:42 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:43 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:43 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:43 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:45 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:46 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:46 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:47 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:47 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:47 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:47 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:47 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:47 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:47 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:47 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:48 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:48 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:48 (0.0 0.0) -0.010472
Person_ID0 30/09/2024 13:08:50 (0.0 0.0) -0.010472
Person_ID0 30/09/2024 13:08:50 (0.0 0.0) -0.010472
Person_ID0 30/09/2024 13:08:50 (0.0 0.0) -0.010472
Person_ID0 30/09/2024 13:08:50 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:51 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:51 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:51 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:51 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:52 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:52 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:52 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:52 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:52 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:53 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:53 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:53 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:53 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:08:53 (0.0 0.0) -0.010472
Person_ID1 30/09/2024 13:09:00 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:02 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:02 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:02 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:03 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:03 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:04 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:04 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:04 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:04 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:04 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:04 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:04 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:05 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:05 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:05 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:05 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:05 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:05 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:05 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:05 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:06 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:06 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:06 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:06 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:06 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:06 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:06 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:06 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:06 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:07 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:07 (0.0 0.0) -0.008726
